"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"missions/phiphi_race_3rd_rank_v2_inverted";"[Formula War Thunder] Fourth stage (3rd rank)";"[Formula War Thunder] Quatrième étape (3ème rang)";"[Formula War Thunder] Quarta parte (Era 3)";"[Formula War Thunder] Phase IV (Rang III)";"[Formula War Thunder] Cuarta etapa (3er rango)";"[Формула War Thunder] Четвёртый этап (3-й ранг)";"[Formuła War Thunder] Etap czwarty ( III era)";"[Formule War Thunder] Čtvrtá část (III. úroveň)";"[Formula War Thunder] Dördüncü etap (3. sıra)";"【\t战\t雷\t方\t程\t式\t】\t第\t四\t阶\t段\t（\tIII \t级\t）";"[WarThunder 公式] 4th\tステージ (ランク\tIII)";"[Fórmula War Thunder] Quarta fase (Patente 3)";"[Formula War Thunder] Fourth stage (3rd rank)";"[Формула War Thunder] Четвертий етап (3-й ранг)";"[Formula War Thunder]  Četvrta etapa (3. rang)";"[Formula War Thunder] Negyedik forduló (III. rang)";"[워썬더 포뮬러] 넷째 판 (3랭크)";"[Формула War Thunder] Чацвёрты этап (3-і ранг)";"[Cursă War Thunder] Stagiul 4 (rangul III)";"[Formula War Thunder] Fourth stage (3rd rank)";"【\t战\t雷\t方\t程\t式\t】\t第\t四\t阶\t段\t（\tIII \t级\t）";;
"missions/phiphi_race_two_circles_v1_halloween_race_straight";"[Race] Halloween 2014";"[Race] Halloween 2014";"[Corsa] Halloween 2014";"[Rennen] Halloween 2014";"[Race] Halloween 2014";"[Гонка] Хэллоуин 2014";"[Wyścig] Halloween 2014";"[Závod] Halloween 2014";"[Race] Cadılar Bayramı 2014";"【\t竞\t速\t赛\t】\t万\t圣\t节\t 2014";"[レース] 2014 ハロウィーン";"[Race] Halloween 2014";"[Race] Halloween 2014";"[Гонка] Хелловін 2014";"[Trka] Noć veštica 2014";"[Futam] Halloween 2014";"[경주] 2014년 할로윈";"[Гонка] Хэлоўін 2014";"[Cursă] Halloween 2014";"[Race] Halloween 2014";"【\t竞\t速\t赛\t】\t万\t圣\t节\t 2014";;
"missions/phiphi_race_two_circles_v1_halloween_race_straight/desc";"Take part in night races dedicated to Halloween and win Po-2!";"Prenez part aux courses nocturnes dédiés à Halloween et gagnez un Po-2 !";"Prendi parte alle corse notturne dedicate ad Halloween e vinci il Po-2!";"Nimm an den Nachtrennen zum Thema Halloween teil und gewinne eine Po-2!";"¡Toma parte en carreras nocturnas dedicadas a Halloween y gana el Po-2!";"Прими участие в ночных гонках в честь Хэллоуина и выиграй По-2!";"Weź udział w wyścigach nocnych z okazji Halloween i wygraj Po-2!";"Zúčastněte se nočních závodů na Halloween a vyhrajte Po-2";"Cadılar Bayramına özel gece yarışlarına katılın ve Po-2 kazanın!";"参\t与\t黑\t夜\t竞\t速\t赛\t赢\t取\t波\t-2\t！";"ハロウィーンだけの\tナイトレースに\t参加して、\tPo-2\tに\t勝利しましょう！";"Faça parte das corridas noturnas dedicadas ao Halloween e ganhe o Po-2!";"Take part in night races dedicated to Halloween and win Po-2!";"Візьми участь у нічних перегонах на честь Хелловіна та виграй По-2!";"Učestvuj u noćnim trkama posvećenim noći veštica i osvoji Po-2!";"Vegyél részt a halloweeni éjszakai futamokon, és nyerd meg a Po-2 repülőgépet!";"할로윈 기념 야간 레이스에 참여하여 Po-2를 얻으세요!";"Вазьмі ўдзел у жахлівых начных гонках на Хэлоўін і выйграй По-2!";"Participă la bătăliile nocturne dedicate pentru Halloween și câștigă un avion Po-2!";"Take part in night races dedicated to Halloween and win Po-2!";"参\t与\t黑\t夜\t竞\t速\t赛\t赢\t取\t波\t-2\t！";;
"missions/phiphi_race_two_circles_v1_race_inverted";"[Race] Tropical Island";"[Race] Île tropicale";"[Corsa] Isola Phi Phi";"[Rennen] Tropische Insel";"[Carrera] Isla Tropical";"[Гонка] Тропический остров";"[Wyścig] Tropikalna wyspa";"[Závod] Tropický ostrov";"[Race] Tropikal Ada";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛";"[レース] トロピカルアイランド";"[Race] Ilha Tropical";"[Race] Tropical Island";"[Гонка] Тропічний острів";"[Trka] Tropsko ostrvo";"[Futam] Trópusi sziget";"[경주] 열대 섬";"[Гонка] Трапічны востраў";"[Cursă] Insulă tropicală";"【竞速赛】披披群岛";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛";;
"missions/phiphi_race_two_circles_v1_race_inverted/desc";"Race track above the tropical island.";"Une course sur une île tropicale.";"Una pista sopra l'isola tropicale.";"Rennstrecke über einer tropischen Insel.";"Un circuito de carreras en los cielos de una isla tropical.";"Гоночная трасса над живописным тропическим островом.";"Trasa wyścigowa nad tropikalną wyspą.";"Závodní trať nad tropickým ostrovem";"Tropik ada üzerinde yarış rotası.";"在\t风\t景\t如\t画\t的\t热\t带\t群\t岛\t上\t空\t极\t速\t驰\t骋\t。";"熱帯の\t島の\t上の\tレース\t場";"Pista de corrida sobre a ilha tropical.";"Race track above the tropical island.";"Гоночна траса над мальовничим тропічним островом.";"Staza iznad tropskog ostrva.";"Versenypálya a trópusi sziget fölött.";"열대 섬 상공의 경주 트랙";"Гоначная траса над маляўнічым трапічным востравам.";"Pistă de curse aeriene deasupra unei insule tropicale.";"在风景如画的热带群岛上空极速驰骋。";"在\t风\t景\t如\t画\t的\t热\t带\t群\t岛\t上\t空\t极\t速\t驰\t骋\t。";;
"missions/phiphi_race_two_circles_v1_halloween_race_inverted";"[Race] Halloween 2014";"[Race] Halloween 2014";"[Corsa] Halloween 2014";"[Rennen] Halloween 2014";"[Race] Halloween 2014";"[Гонка] Хэллоуин 2014";"[Wyścig] Halloween 2014";"[Závod] Halloween 2014";"[Race] Cadılar Bayramı 2014";"【\t竞\t速\t赛\t】\t万\t圣\t节\t 2014";"[レース] 2014 ハロウィーン";"[Race] Halloween 2014";"[Race] Halloween 2014";"[Гонка] Хелловін 2014";"[Trka] Noć veštica 2014";"[Futam] Halloween 2014";"[경주] 2014년 할로윈";"[Гонка] Хэлоўін 2014";"[Cursă] Halloween 2014";"[Race] Halloween 2014";"【\t竞\t速\t赛\t】\t万\t圣\t节\t 2014";;
"missions/phiphi_race_two_circles_v1_halloween_race_inverted/desc";"Take part in night races dedicated to Halloween and win Po-2!";"Prenez part aux courses nocturnes dédiés à Halloween et gagnez un Po-2 !";"Prendi parte alle corse notturne dedicate ad Halloween e vinci il Po-2!";"Nimm an den Nachtrennen zum Thema Halloween teil und gewinne eine Po-2!";"¡Toma parte en carreras nocturnas dedicadas a Halloween y gana el Po-2!";"Прими участие в ночных гонках в честь Хэллоуина и выиграй По-2!";"Weź udział w wyścigach nocnych z okazji Halloween i wygraj Po-2!";"Zúčastněte se nočních závodů na Halloween a vyhrajte Po-2";"Cadılar Bayramına özel gece yarışlarına katılın ve Po-2 kazanın!";"参\t与\t黑\t夜\t竞\t速\t赛\t赢\t取\t波\t-2\t！";"ハロウィーンだけの\tナイトレースに\t参加して、\tPo-2\tに\t勝利しましょう！";"Faça parte das corridas noturnas dedicadas ao Halloween e ganhe o Po-2!";"Take part in night races dedicated to Halloween and win Po-2!";"Візьми участь у нічних перегонах на честь Хелловіна та виграй По-2!";"Učestvuj u noćnim trkama posvećenim noći veštica i osvoji Po-2!";"Vegyél részt a halloweeni éjszakai futamokon, és nyerd meg a Po-2 repülőgépet!";"할로윈 기념 야간 레이스에 참여하여 Po-2를 얻으세요!";"Вазьмі ўдзел у жахлівых начных гонках на Хэлоўін і выйграй По-2!";"Participă la bătăliile nocturne dedicate pentru Halloween și câștigă un avion Po-2!";"Take part in night races dedicated to Halloween and win Po-2!";"参\t与\t黑\t夜\t竞\t速\t赛\t赢\t取\t波\t-2\t！";;
"missions/phiphi_race_two_circles_v2_race_straight";"[Race] Tropical Island";"[Race] Île tropicale";"[Corsa] Isola Phi Phi";"[Rennen] Tropische Insel";"[Carrera] Isla Tropical";"[Гонка] Тропический остров";"[Wyścig] Tropikalna wyspa";"[Závod] Tropický ostrov";"[Race] Tropikal Ada";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛";"[レース] トロピカルアイランド";"[Race] Ilha Tropical";"[Race] Tropical Island";"[Гонка] Тропічний острів";"[Trka] Tropsko ostrvo";"[Futam] Trópusi sziget";"[경주] 열대 섬";"[Гонка] Трапічны востраў";"[Cursă] Insulă tropicală";"【竞速赛】披披群岛";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛";;
"missions/phiphi_race_two_circles_v2_race_straight/desc";"Race track above the tropical island.";"Une course sur une île tropicale.";"Una pista sopra l'isola tropicale.";"Rennstrecke über einer tropischen Insel.";"Un circuito de carreras en los cielos de una isla tropical.";"Гоночная трасса над живописным тропическим островом.";"Trasa wyścigowa nad tropikalną wyspą.";"Závodní trať nad tropickým ostrovem";"Tropik ada üzerinde yarış rotası.";"在\t风\t景\t如\t画\t的\t热\t带\t群\t岛\t上\t空\t极\t速\t驰\t骋\t。";"レース\t会場は\t熱帯の\t島の\t上空です。";"Pista de corrida sobre a ilha tropical.";"Race track above the tropical island.";"Гоночна траса над мальовничим тропічним островом.";"Staza iznad tropskog ostrva.";"Versenypálya a trópusi sziget fölött.";"열대 섬 상공의 경주 트랙";"Гоначная траса над маляўнічым трапічным востравам.";"Pistă de curse aeriene deasupra unei insule tropicale.";"在风景如画的热带群岛上空极速驰骋。";"在\t风\t景\t如\t画\t的\t热\t带\t群\t岛\t上\t空\t极\t速\t驰\t骋\t。";;
"missions/phiphi_race_two_circles_v2_race_inverted";"[Race] Tropical Island";"[Race] Île tropicale";"[Corsa] Isola Phi Phi";"[Rennen] Tropische Insel";"[Carrera] Isla Tropical";"[Гонка] Тропический остров";"[Wyścig] Tropikalna wyspa";"[Závod] Tropický ostrov";"[Race] Tropikal Ada";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛";"[レース] 熱帯の\t島";"[Race] Ilha Tropical";"[Race] Tropical Island";"[Гонка] Тропічний острів";"[Trka] Tropsko ostrvo";"[Futam] Trópusi sziget";"[경주] 열대 섬";"[Гонка] Трапічны востраў";"[Cursă] Insulă tropicală";"【竞速赛】披披群岛";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛";;
"missions/phiphi_race_two_circles_v2_race_inverted/desc";"Race track above the tropical island.";"Une course sur une île tropicale.";"Una pista sopra l'isola tropicale.";"Rennstrecke über einer tropischen Insel.";"Un circuito de carreras en los cielos de una isla tropical.";"Гоночная трасса над живописным тропическим островом.";"Trasa wyścigowa nad tropikalną wyspą.";"Závodní trať nad tropickým ostrovem";"Tropik ada üzerinde yarış rotası.";"在\t风\t景\t如\t画\t的\t热\t带\t群\t岛\t上\t空\t极\t速\t驰\t骋\t。";"レース\t会場は\t熱帯の\t島の\t上空です。";"Pista de corrida sobre a ilha tropical.";"Race track above the tropical island.";"Гоночна траса над мальовничим тропічним островом.";"Staza iznad tropskog ostrva.";"Versenypálya a trópusi sziget fölött.";"열대 섬 상공의 경주 트랙";"Гоначная траса над маляўнічым трапічным востравам.";"Pistă de curse aeriene deasupra unei insule tropicale.";"在风景如画的热带群岛上空极速驰骋。";"在\t风\t景\t如\t画\t的\t热\t带\t群\t岛\t上\t空\t极\t速\t驰\t骋\t。";;
"missions/phiphi_race_two_circles";"[Race] Island";"[Race] Île";"[Gara] Isola";"[Rennen] Insel";"[Race] Isla";"[Гонка] Остров";"[Wyścig] Wyspa";"[Závod] Ostrov";"[Yarış] Ada";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛";"[Race] アイランド";"[Race] Ilha";"[Race] Island";"[Race] Острів";"[Race] Ostrvo";"[Futam] Sziget";"[경주] 섬";"[Гонка] Востраў";"[Cursă] Insulă";"【竞速赛】披披群岛";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛";;
"missions/phiphi_race_two_circles_1st_rank";"[Race] Island (1st rank)";"[Race] Île (1er rang)";"[Corsa] Isola Phi Phi (Era 1)";"[Rennen] Insel (Rang I)";"[Race] Isla (1er rango)";"[Гонка] Остров (1-й ранг)";"[Wyścig] Wyspa ( I era)";"[Závod] Ostrov (I. úroveň)";"[Race] Ada (1. kademe)";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛\t（\tI \t级\t）";"[レース] 島 (ランク\tI)";"[Race] Ilha (Patente 1)";"[Race] Island (1st rank)";"[Гонка] Острів (1-й ранг)";"[Trka] Ostrvo (1. rang)";"[Futam] Sziget (I. rang)";"[경주] 섬 (1랭크)";"[Гонка] Востраў (1-ы ранг)";"[Cursă] Insulă (rangul I)";"【竞速赛】披披群岛（I 级）";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛\t（\tI \t级\t）";;
"missions/phiphi_race_two_circles_2nd_rank";"[Race] Island (2nd rank)";"[Race] Île (2ème rang)";"[Corsa] Isola Phi Phi (Era 2)";"[Rennen] Insel (Rang II)";"[Race] Isla (2do rango)";"[Гонка] Остров (2-й ранг)";"[Wyścig] Wyspa ( II era)";"[Závod] Ostrov (II. úroveň)";"[Race] Ada (2. kademe)";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛\t（\tII \t级\t）";"[レース] 島(ランク\tII)";"[Race] Ilha (Patente 2)";"[Race] Island (2nd rank)";"[Гонка] Острів (2-й ранг)";"[Trka] Ostrvo (2. rang)";"[Futam] Sziget (II. rang)";"[경주] 섬 (2랭크)";"[Гонка] Востраў (2-і ранг)";"[Cursă] Insulă (rangul II)";"【竞速赛】披披群岛（II 级）";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛\t（\tII \t级\t）";;
"missions/phiphi_race_two_circles_3rd_rank";"[Race] Island (3rd rank)";"[Race] Île (3ème rang)";"[Corsa] Isola Phi Phi (Era 3)";"[Rennen] Insel (Rang III)";"[Race] Isla (3er rango)";"[Гонка] Остров (3-й ранг)";"[Wyścig] Wyspa ( II era)";"[Závod] Ostrov (III. úroveň)";"[Race] Ada (3. kademe)";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛\t（\tIII \t级\t）";"[レース] 島(ランク\tIII)";"[Race] Ilha (Patente 3)";"[Race] Island (3rd rank)";"[Гонка] Острів (3-й ранг)";"[Trka] Ostrvo (3. rang)";"[Futam] Sziget (III. rang)";"[경주] 섬 (3랭크)";"[Гонка] Востраў (3-і ранг)";"[Cursă] Insulă (rangul III)";"【竞速赛】披披群岛（III 级）";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛\t（\tIII \t级\t）";;
"missions/phiphi_race_two_circles_4th_rank";"[Race] Island (4th rank)";"[Race] Île (4ème rang)";"[Corsa] Isola Phi Phi (Era 4)";"[Rennen] Insel (Rang IV)";"[Race] Isla (4to rango)";"[Гонка] Остров (4-й ранг)";"[Wyścig] Wyspa ( IV era)";"[Závod] Ostrov (IV. úroveň)";"[Race] Ada (4. kademe)";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛\t（\tIV \t级\t）";"[レース] 島(ランク\tIV)";"[Race] Ilha (Patente 4)";"[Race] Island (4th rank)";"[Гонка] Острів (4-й ранг)";"[Trka] Ostrvo (4. rang)";"[Futam] Sziget (IV. rang)";"[경주] 섬 (4랭크)";"[Гонка] Востраў (4-ы ранг)";"[Cursă] Insulă (rangul IV)";"【竞速赛】披披群岛（IV 级）";"【\t竞\t速\t赛\t】\t披\t披\t群\t岛\t（\tIV \t级\t）";;
"events/race_speed_festival";"Stylish Race";"Course de Style";"Corsa di Stile";"Stilvolles Rennen";"Carrera con estilo";"Стильные гонки";"Stylowy wyścig";"Stylový závod";"Asortik Yarış";"Stylish Race";"スタイリッシュレース";"Stylish Race";"Stylish Race";"Стильні гонки";"Stilska trka";"Stílusos futam";"스타일리쉬 레이스";"Стыльныя гонкі";"Cursă cu stil";"Stylish Race";"Stylish Race";;
"events/race_speed_festival/desc";"A special race only for the participants of the festival of style and speed in Sokolniki. Take part in a breathtaking air race through a colorful landscape of a tropical island!";"Une course spéciale seulement pour les participants du festival du style et de la vitesse à Sokolniki. Prenez part à une course aérienne au travers du paysage multicolore d'une île tropicale!";"Una gara speciale solo per i partecipanti al festival di stile e velocità a Sokolniki. Prendi parte ad una gara aerea mozzafiato con il paesaggio pittoresco dell'isola tropicale!";"Ein besonderes Rennen für die Teilnehmer ds Festivals in Sokolniki. Nimm an einem atemberaubenden Flugzeugrennen über der malerischen Landschaft einer tropischen Insel teil!";"Una carrera especial solo para participantes del festival de estilo y velocidad en Sokolniki. ¡Toma parte en una espectacular carrera aérea a través del colorido paisaje de una isla tropical!";"Специальное гоночное событие только для участников фестиваля стиля и скорости в Сокольниках. Прими участие в захватывающих авиа-гонках среди красочных пейзажей тропического острова!";"Specjalny wyścig wyłącznie dla uczestników festiwalu stylu i prędkości w Sokolnikach. Weź udział w zapierającym dech w piersiach wyścigu w kolorowej scenerii tropikalnej wyspy!";"Speciální závod pouze pro účastníky festivalu stylu a rychlosti v Sokolniki. Zapojte se do úžasného leteckého závodu v malebné krajině tropického ostrova!";"Sadece Sokolniki'de stil ve hız festivaline katılanlar için özel bir yarış. Tropikal adanın renkli manzarasında nefes kesen bir hava yarışında yerinizi alın!";"A special race only for the participants of the festival of style and speed in Sokolniki. Take part in a breathtaking air race through a colorful landscape of a tropical island!";"ソコルニキの\t広大な\t舞台で\t行われる\tスピードレース。\t
熱帯島の\t多彩な\t地形に\t息をのみながら\tレースに\t参加しよう！";"Uma corrida especial para participantes do festival de estilo e velocidade em Sokolniki. Faça parte de uma corrida aérea de cortar a respiração na paisagem colorida de uma ilha tropical!";"A special race only for the participants of the festival of style and speed in Sokolniki. Take part in a breathtaking air race through a colorful landscape of a tropical island!";"A special race only for the participants of the festival of style and speed in Sokolniki. Take part in a breathtaking air race through a colorful landscape of a tropical island!";"Specijalna trka samo za učesnike festivala stila i brzine u Sokolniki. Učestvujte na vazdušnim trkama koje oduzimaju dah kroz šarolik krajolik tropskog ostrva!";"Egy különleges verseny a Szokolnyikiban megrendezett stílus és sebesség fesztivál résztvevőinek. Vegyetek részt egy lélegzetelállító légi versenyen egy trópusi sziget változatos tájain!";"소콜니키에서 벌어지는 우아함과 속도의 축제 참가자를 위한 특별 레이스입니다. 열대 섬의 다채로운 지형 사이로 벌어지는 숨막히는 공중 레이스에 참가하세요!";"Адмысловая гоначная падзея толькі для ўдзельнікаў фестывалю стылю і хуткасці ў Сакольніках. Вазьмі ўдзел у захапляючых авія-гонках між дзівосных відарысаў трапічнага вострава!";"O cursă specială numai pentru participanții la festivalul de stil și viteză din Sokolniki. Participă la o cursă aeriană uluitoare printr-un peisaj colorat al unei insule tropicale!";"A special race only for the participants of the festival of style and speed in Sokolniki. Take part in a breathtaking air race through a colorful landscape of a tropical island!";"A special race only for the participants of the festival of style and speed in Sokolniki. Take part in a breathtaking air race through a colorful landscape of a tropical island!";;
