"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"it_ger_merit_medal_silver/name";"Silver Medal of Merit";"Silver Medal of Merit";"Medaglia d'Argento al Merito";"Silver Medal of Merit";"Silver Medal of Merit";"Серебряная медаль За заслуги";"Silver Medal of Merit";"Silver Medal of Merit";"Silver Medal of Merit";"Silver Medal of Merit";"Silver Medal of Merit";"Silver Medal of Merit";"Silver Medal of Merit";"Срібна медаль За заслуги";"Silver Medal of Merit";"Silver Medal of Merit";"Silver Medal of Merit";"Silver Medal of Merit";"Medalia de merit de argintie";"Silver Medal of Merit";"Silver Medal of Merit";;
"it_ger_merit_medal_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_ger_merit_medal_bronze/name";"Bronze Medal of Merit";"Bronze Medal of Merit";"Medaglia di Bronzo al Merito";"Bronze Medal of Merit";"Bronze Medal of Merit";"Бронзовая медаль За заслуги";"Bronze Medal of Merit";"Bronze Medal of Merit";"Bronze Medal of Merit";"Bronze Medal of Merit";"Bronze Medal of Merit";"Bronze Medal of Merit";"Bronze Medal of Merit";"Бронзова медаль За заслуги";"Bronze Medal of Merit";"Bronze Medal of Merit";"Bronze Medal of Merit";"Bronze Medal of Merit";"Medalia de merit de bronz";"Bronze Medal of Merit";"Bronze Medal of Merit";;
"it_ger_merit_medal_bronze/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_ger_eagle_order_5_class/name";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Ordine delle Aquile Tedesche V Classe";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Орден Заслуг германского орла 5-го класса:";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Орден Заслуг німецького орла 5-го класу:";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";"Ordinul Vulturului German clasa 5";"Order of the German Eagle 5th Class";"Order of the German Eagle 5th Class";;
"it_ger_eagle_order_5_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_ger_eagle_order_4_class/name";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Ordine delle Aquile Tedesche IV Classe";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Орден Заслуг германского орла 4-го класса:";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Орден Заслуг німецького орла 4-го класу:";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";"Ordinul Vulturului German clasa 4";"Order of the German Eagle 4th Class";"Order of the German Eagle 4th Class";;
"it_ger_eagle_order_4_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_ger_eagle_order_3_class/name";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Ordine delle Aquile Tedesche III Classe";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Орден Заслуг германского орла 3-го класса:";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Орден Заслуг німецького орла 3-го класу:";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";"Ordinul Vulturului German clasa 3";"Order of the German Eagle 3rd Class";"Order of the German Eagle 3rd Class";;
"it_ger_eagle_order_3_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_dive_bomber_badge/name";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Distintivo bombardiere da picchiata (oro)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Нагрудный знак Пикировщик (золотой)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Нагрудний знак пікірувальників (золотий)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";"Insigna bombardierului în picaj (aurie)";"Badge dive bomber (gold)";"Badge dive bomber (gold)";;
"it_dive_bomber_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_crown_officer_order/name";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Ordine della Corona d'Italia (Ufficiale)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Орден Короны Италии (офицер)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Орден Корони Італії (офіцер)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";"Ordinul Coroanei Italiei (Ofițer)";"Order of the Crown of Italy (Officer)";"Order of the Crown of Italy (Officer)";;
"it_crown_officer_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_crown_cavalier_order/name";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Ordine della Corona d'Italia (Cavaliere)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Орден Короны Италии (кавалер)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Орден Корони Італії (кавалер)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";"Ordinul Coroanei Italiei (Cavaler)";"Order of the Crown of Italy (Cavalier)";"Order of the Crown of Italy (Cavalier)";;
"it_crown_cavalier_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_bomber_badge/name";"Badge bomber (gold)";"Badge bomber (gold)";"Distintivo bombardiere (oro)";"Badge bomber (gold)";"Badge bomber (gold)";"Нагрудный знак Бомбардировщик (золотой)";"Badge bomber (gold)";"Badge bomber (gold)";"Badge bomber (gold)";"Badge bomber (gold)";"Badge bomber (gold)";"Badge bomber (gold)";"Badge bomber (gold)";"Нагрудний знак Бомбардувальник (золотий)";"Badge bomber (gold)";"Badge bomber (gold)";"Badge bomber (gold)";"Badge bomber (gold)";"Insignă bombardier (aurie)";"Badge bomber (gold)";"Badge bomber (gold)";;
"it_bomber_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_attacker_badge/name";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Distintivo Assaltatore (oro)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Нагрудный знак Штурмовик (золотой)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Нагрудний знак Штурмовик (золотий)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";"Insignă atacator (aurie)";"Badge of Attack (the Golden)";"Badge of Attack (the Golden)";;
"it_attacker_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_air_valor_medal_silver/name";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Medaglia al Valore dell'Aeronautica (Argento)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Медаль За доблесть в небе (серебряная)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Медаль За доблесть в небі (срібна)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";"Medalia Valorii Forțelor Aeriene (Argint)";"Medal of Valor of the Air Forces (Silver)";"Medal of Valor of the Air Forces (Silver)";;
"it_air_valor_medal_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_air_valor_medal_gold/name";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Medaglia al Valore dell'Aeronautica (Oro)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Медаль За доблесть в небе (золотая)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Медаль За доблесть в небі (золота)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";"Medalia Valorii Forțelor Aeriene (Aur)";"Medal of Valor of the Air Forces (Gold)";"Medal of Valor of the Air Forces (Gold)";;
"it_air_valor_medal_gold/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_sky/name";"Medal of Valor of the Air Forces (Bronze)";"Médaille ""Pour bravoure dans le ciel""";"Medaglia ""Di Lunga Navigazione Aerea""";"Medaille ""Für Tapferkeit am Himmel""";"Medalla ""al valor en el cielo""";"Медаль За доблесть в небе (бронзовая)";"Medal „Za długoletnią służbę w siłach powietrznych”";"Medaile za dlouhou leteckou službu (Medaglia di lunga navigazione aerea)";"""Gökyüzünde Cesaret"" Madalyası";"空\t中\t勇\t士\t勋\t章";"航空武勇章
";"Medalha ""Di Lunga Navigazione Aerea""";"Medal of Valor of the Air Forces (Bronze)";"Медаль ""За звитягу в небі""";"Medalja ""Za Hrabrost u Nebu""";"Hosszú légierős szolgálatért érem";"장기공중근무장(Medaglia militare aeronautica di lunga navigazione aerea)";"Медаль ""За доблесць у небе""";"Medalia  Valorii Forțelor Aeriene (Bronz)";"空中勇士勳章";"空\t中\t勇\t士\t勋\t章";;
"it_sky/desc";;;;;;;;;;;;;;;;;;;;;;;
"it_africa_medal/name";"Africa Campaign Medal";"Médaille de la campagne d'Afrique";"Medaglia della Campagna d'Africa";"Africa Campaign Medal";"Africa Campaign Medal";"Медаль За африканскую компанию";"Africa Campaign Medal";"Africa Campaign Medal";"Africa Campaign Medal";"Africa Campaign Medal";"Africa Campaign Medal";"Africa Campaign Medal";"Africa Campaign Medal";"Медаль За африканську кампанію";"Africa Campaign Medal";"Africa Campaign Medal";"Africa Campaign Medal";"Africa Campaign Medal";"Medalia campaniei africane";"Africa Campaign Medal";"Africa Campaign Medal";;
"it_africa_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_wound_badge_silver/name";"Wound Badge Silver";"Wound Badge Silver";"Distintivo d'Argento per feriti";"Wound Badge Silver";"Wound Badge Silver";"Нагрудный знак За ранение 2 степени";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Нагрудний знак За поранення 2 ступеня";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Insigna de argint a răniților";"Wound Badge Silver";"Wound Badge Silver";;
"ger_wound_badge_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_wound_badge_gold/name";"Wound Badge Gold";"Wound Badge Gold";"Distintivo d'Oro per feriti";"Wound Badge Gold";"Wound Badge Gold";"Нагрудный знак За ранение 1 степени";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Нагрудний знак За поранення 1 ступеня";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Insigna de aur a răniților";"Wound Badge Gold";"Wound Badge Gold";;
"ger_wound_badge_gold/desc";;;;;;;;;;;;;;;;;;;;;;;
"ge_wound_badge/name";"Wound Badge Black";"Insigne des blessés";"Distintivo per feriti";"Verwundetenabzeichen";"Insignia de herido";"Нагрудный знак За ранение 3-й степени";"Odznaka za Rany";"Odznak za zranění";"Gazi Rozeti";"战\t伤\t勋\t章";"戦傷章";"Verwundetenabzeichen (medalha de ferido)";"Wound Badge Black";"За поранення ";"Značka Ozlede";"Sebesülési jelvény";"전상장(Verwundetenabzeichen)";"Нагрудны знак ""За раненне""";"Insigna neagră a răniților";"戰傷勳章";"战\t伤\t勋\t章";;
"ge_wound_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_wermacht_service_special_class/name";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Trofeo per il Lungo Servizio nella Wehrmacht";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Медаль За выслугу лет в вермахте 1 класса";"Nagroda za długą służbę Wehrmachtu";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Медаль За вислугу років в вермахті 1 класу";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";"Distincția Serviciu îndelungat în Wehrmacht";"Wehrmacht Long Service Award";"Wehrmacht Long Service Award";;
"ger_wermacht_service_special_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_wermacht_service_3_class/name";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Trofeo per il Lungo Servizio nella Wehrmacht III Classe";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Медаль За выслугу лет в вермахте 3 класса";"Nagroda za długą służbę Wehrmachtu 3. klasy";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Медаль За вислугу років в вермахті 3 класу";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";"Distincția Serviciu îndelungat în Wehrmacht clasa 3";"Wehrmacht Long Service Award 3rd class";"Wehrmacht Long Service Award 3rd class";;
"ger_wermacht_service_3_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_wermacht_service_2_class/name";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Trofeo per il Lungo Servizio nella Wehrmacht II Classe";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Медаль За выслугу лет в вермахте 2 класса";"Nagroda za długą służbę Wehrmachtu 2. klasy";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Медаль За вислугу років в вермахті 2 класу";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";"Distincția Serviciu îndelungat în Wehrmacht clasa 2";"Wehrmacht Long Service Award 2nd class";"Wehrmacht Long Service Award 2nd class";;
"ger_wermacht_service_2_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_sboote_badge/name";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Distintivo della guerra lampo";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Нагрудный знак экипажей торпедных катеров";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Нагрудний знак екіпажів торпедних катерів";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";"Insignă ambarcațiune rapidă de atac";"Fast Attack Craft War Badge";"Fast Attack Craft War Badge";;
"ger_sboote_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ge_roll_honor/name";"Honour Roll Clasp of the Luftwaffe";"Ruban fermoir d'Honneur de la Luftwaffe";"Ehrenblattspange der Luftwaffe";"Ehrenblattspange der Luftwaffe";"Broche de lista de honor de la Luftwaffe";"Почетная пряжка на ленте люфтваффе";"Honorowa Odznaka Luftwaffe";"Čestná spona Luftwaffe";"Luftwaffe Onur Nişanı";"空\t军\t荣\t誉\t勋\t饰";"ルフトヴァッフェ\t名鑑章";"Broche de Honra da Lufwaffe";"Honour Roll Clasp of the Luftwaffe";"Почесна пряжка на стрічці для Люфтваффе ";"Luftwaffe Kopča Časti";"Luftwaffe Becsületrend";"독일 공군 명예약장(Ehrenblattspange der Luftwaffe)";"Ганаровая спражка Люфтвафэ";"Panglica de onoare Luftwaffe";"空軍榮譽勳飾";"空\t军\t荣\t誉\t勋\t饰";;
"ge_roll_honor/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_roll_of_honor_kriegsmarine/name";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp della Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Почётная пристёжка кригсмарине";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Почесна застібка Крігсмаріне";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Clema de onoare a Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";"Honour Roll Clasp of the Kriegsmarine";;
"ger_roll_of_honor_kriegsmarine/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_roll_of_honor_army/name";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";"Honour Roll Clasp dell'Esercito";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";"Почетная пряжка на ленте сухопутных войск";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";"Почесна пряжка на стрічці сухопутних військ";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";"Clema de onoare a armatei";"Honour Roll Clasp of the Army";"Honour Roll Clasp of the Army";;
"ger_roll_of_honor_army/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_radio_operator_badge/name";"Radio Operator Badge";"Radio Operator Badge";"Distintivo del radiofonista";"Radio Operator Badge";"Radio Operator Badge";"Нагрудный знак Воздушный стрелок";"Odznaka radiooperatora";"Radio Operator Badge";"Radio Operator Badge";"Radio Operator Badge";"Radio Operator Badge";"Radio Operator Badge";"Radio Operator Badge";"Нагрудний знак Повітряний стрілок";"Radio Operator Badge";"Radio Operator Badge";"Radio Operator Badge";"Radio Operator Badge";"Insigna operatorului radio";"Radio Operator Badge";"Radio Operator Badge";;
"ger_radio_operator_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_pilot_badge/name";"Pilot's badge";"Pilot's badge";"Distintivo del pilota";"Pilot's badge";"Pilot's badge";"Нагрудный знак люфтваффе Пилот";"Odznaka pilota";"Pilot's badge";"Pilot's badge";"Pilot's badge";"Pilot's badge";"Pilot's badge";"Pilot's badge";"Нагрудний знак люфтваффе Пілот";"Pilot's badge";"Pilot's badge";"Pilot's badge";"Pilot's badge";"Insigna pilotului";"Pilot's badge";"Pilot's badge";;
"ger_pilot_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_panzer_badge_silver/name";"Panzer Badge Silver";"Panzer Badge Silver";"Distintivo Panzer Argento";"Panzer Badge Silver";"Panzer Badge Silver";"Нагрудный знак За танковую атаку (серебряный)";"Panzer Badge Silver";"Panzer Badge Silver";"Panzer Badge Silver";"Panzer Badge Silver";"Panzer Badge Silver";"Panzer Badge Silver";"Panzer Badge Silver";"Нагрудний знак За танкову атаку (срібний)";"Panzer Badge Silver";"Panzer Badge Silver";"Panzer Badge Silver";"Panzer Badge Silver";"Insignă de argint blindate";"Panzer Badge Silver";"Panzer Badge Silver";;
"ger_panzer_badge_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_panzer_badge_bronze/name";"Panzer Badge Bronze";"Panzer Badge Bronze";"Distintivo Panzer Bronzo";"Panzer Badge Bronze";"Panzer Badge Bronze";"Нагрудный знак За танковую атаку (бронзовый)";"Panzer Badge Bronze";"Panzer Badge Bronze";"Panzer Badge Bronze";"Panzer Badge Bronze";"Panzer Badge Bronze";"Panzer Badge Bronze";"Panzer Badge Bronze";"Нагрудний знак За танкову атаку (бронзовий)";"Panzer Badge Bronze";"Panzer Badge Bronze";"Panzer Badge Bronze";"Panzer Badge Bronze";"Insignă de bronz blindate";"Panzer Badge Bronze";"Panzer Badge Bronze";;
"ger_panzer_badge_bronze/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_minesweeper_badge/name";"Minesweeper War Badge";"Minesweeper War Badge";"Distintivo dragamine";"Minesweeper War Badge";"Minesweeper War Badge";"Нагрудный знак экипажей минных тральщиков и охотников за подводными лодками";"Minesweeper War Badge";"Minesweeper War Badge";"Minesweeper War Badge";"Minesweeper War Badge";"Minesweeper War Badge";"Minesweeper War Badge";"Minesweeper War Badge";"Нагрудний знак екіпажів мінних тральщиків і мисливців за підводними човнами";"Minesweeper War Badge";"Minesweeper War Badge";"Minesweeper War Badge";"Minesweeper War Badge";"Insignă de război dragare mine";"Minesweeper War Badge";"Minesweeper War Badge";;
"ger_minesweeper_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ge_knight_cross_oak_swords/name";"Knight's Cross of the Iron Cross with Oak Leaves and Swords";"Croix de chevalier de la Croix de fer avec feuilles de chêne et glaives";"Ritterkreuz des Eisernen Kreuzes mit Eichenlaub und Schwertern";"Ritterkreuz des Eisernen Kreuzes mit Eichenlaub und Schwertern";"Cruz de caballero de la cruz de hierro con hojas de roble y espadas";"Рыцарский крест Железного креста с дубовыми листьями и мечами";"Krzyż Rycerski Krzyża Żelaznego z Liśćmi Dębu i Mieczami";"Rytířský kříž Železného kříže s dubovou ratolestí a meči";"Meşe Yapraklı ve Kılıçlı Demir Şövalye Haçı";"双\t剑\t银\t橡\t叶\t骑\t士\t铁\t十\t字\t勋\t章";"柏葉・\t剣付騎士鉄十字章";"Ritterkreuz des Eisernen Kreuzes mit Eichenlaub und Schwertern (Cruz de Cavaleiro da Cruz de Ferro com folhas de carvalho e espadas)";"Knight's Cross of the Iron Cross with Oak Leaves and Swords";"Лицарський хрест Залізного хреста з дубовим листям та мечами ";"Viteški krst gvozdenog krsta sa listom hrasta i mačem";"Vaskereszt Lovagkeresztje tölgyfalombokkal és kardokkal";"백엽검기사철십자장(Ritterkreuz des Eisernen Kreuzes mit Eichenlaub und Schwertern)";"Рыцарскі крыж Жалезнага крыжа з Дубовым лісцем і Мячамі";"Crucea „Cavalerul crucii de fier cu frunze de stejar și săbii”";"雙劍銀橡葉騎士鐵十字勳章";"双\t剑\t银\t橡\t叶\t骑\t士\t铁\t十\t字\t勋\t章";;
"ge_knight_cross_oak_swords/desc";;;;;;;;;;;;;;;;;;;;;;;
"ge_knight_cross_oak/name";"Knight's Cross of the Iron Cross with Oak Leaves";"Croix de chevalier de la Croix de fer avec feuilles de chêne";"Ritterkreuz des Eisernen Kreuzes mit Eichenlaub";"Ritterkreuz des Eisernen Kreuzes mit Eichenlaub";"Cruz de caballero de la cruz de hierro con hojas de roble";"Рыцарский крест Железного креста с дубовыми листьями";"Krzyż Rycerski Krzyża Żelaznego z Liśćmi Dębu";"Rytířský kříž Železného kříže s dubovou ratolestí";"Meşe Yapraklı Demir Şövalye Haçı";"银\t橡\t叶\t骑\t士\t铁\t十\t字\t勋\t章";"柏葉付騎士鉄十字章";"Ritterkreuz des Eisernen Kreuzes mit Eichenlaub (Cruz de Cavaleiro da Cruz de ferro com Folhas de Carvalho)";"Knight's Cross of the Iron Cross with Oak Leaves";"Лицарський хрест Залізного хреста з дубовим листям ";"Viteški krst gvozdenog krsta sa listom hrasta";"Vaskereszt Lovagkeresztje tölgyfalombokkal";"백엽기사철십자장(Ritterkreuz des Eisernen Kreuzes mit Eichenlaub)";"Рыцарскі крыж Жалезнага крыжа з Дубовым лісцем";"Crucea „Cavalerul crucii de fier cu frunze de stejar”";"銀橡葉騎士鐵十字勳章";"银\t橡\t叶\t骑\t士\t铁\t十\t字\t勋\t章";;
"ge_knight_cross_oak/desc";;;;;;;;;;;;;;;;;;;;;;;
"ger_knight_cross_oak_swords_diamonds/name";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Croce di Cavaliere della Croce di Ferro con Fronde di Quercia, Spade e Diamanti";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Рыцарский крест Железного креста с золотыми дубовыми листьями, мечами и бриллиантами";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Лицарський хрест Залізного хреста з золотими дубовим листям, мечами і діамантами";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Crucea „Cavalerul crucii de fier cu frunze de stejar, săbii și careuri”";"Knight's Cross with Oak Leaves, Swords and Diamonds";"Knight's Cross with Oak Leaves, Swords and Diamonds";;
"ger_knight_cross_oak_swords_diamonds/desc";;;;;;;;;;;;;;;;;;;;;;;
